SDSS,FWHM-Hb,EW-Hb,EW-Fe2,RA,DEC,z_paul,good,CIV_blue,CIV_EW,FIRST_FLUX,Delta_G_I,EBV_dr16,LOGL1350_dr16,LOGL2500_dr16,Separation
b' J074941.16+262715.9',3592,81,2,117.4215,26.454416666666667,1.59254,false,1483.7261380032721,43.547962727221616,-1.0,0.033,0.0267317788212445,0.0,46.21907148886694,0.04725454880465379
b' J160029.86+331806.9',7471,94,2,240.12441666666666,33.30191666666666,,,,,,,,,,
b' J160207.67+380743.0',6504,54,2,240.53195833333334,38.12861111111111,,,,,,,,,,
b' J151727.68+133358.6',4512,55,2,229.36533333333333,13.566277777777778,2.23752,true,1915.564206310148,28.69132209049443,-1.0,0.004,0.0384272680426178,46.83280498111628,46.628295427980426,0.01229310142364229
b' J085726.94+331317.1',2424,74,2,134.36225,33.22141666666667,2.34071,true,562.1340434685453,36.81370509089718,20.690001,0.25,0.0221148643694303,46.51878207743908,46.41741213211577,0.12506564818214794
b' J004719.71+014813.9',5605,90,2,11.832125,1.8038611111111111,1.58978,true,792.947225238313,77.69368141741961,-1.0,0.108,0.0222466308593466,0.0,46.38611287289453,0.10563728753891433
b' J163433.42+265158.2',2695,70,50,248.63925,26.86616666666667,,,,,,,,,,
b' J014206.86+025713.0',4721,48,2,25.528583333333334,2.9536111111111114,2.31425,true,450.42914310313256,27.011353527971576,2.33,1.263,0.0253878413103701,46.34334717107488,46.748750832969044,0.11322404082838304
b' J142903.03-014519.3',5337,64,2,217.262625,-1.7553611111111111,3.42634,true,1766.1878826172483,23.800179708319597,-1.0,0.039,0.043737913563864,47.09592629336521,0.0,0.06916577317498053
b' J141925.48+074953.5',5214,64,2,214.85616666666667,7.831527777777778,2.39534,true,2262.033438885336,16.034797173327487,-1.0,0.191,0.0238400706852191,46.91438232076529,46.79885000318962,0.08571620305442558
b' J010113.72+032427.0',6484,61,2,15.307166666666667,3.4074999999999998,1.57689,true,15.816638207051085,88.81883458854858,41.669998,0.098,0.0170715558953582,0.0,46.466427594166056,0.12115905185308312
b' J075405.08+280339.6',4911,47,2,118.52116666666667,28.061,2.27462,true,221.84537595081008,48.16581697367849,-1.0,-0.038,0.0273669963045011,46.53486555857448,46.37999016835775,0.0636808776018207
b' J081127.44+461812.9',3386,60,2,122.86433333333333,46.30358333333333,2.26935,true,3321.952006126988,23.741770769707507,-1.0,0.09,0.0395866340527211,47.01728442984212,46.8558467843185,0.056708237150359914
b' J095544.26+182546.9',3090,55,5,148.93441666666666,18.429694444444447,3.48319,true,845.8254488145252,48.40099695513459,-1.0,-0.1,0.0241493918366024,46.89667143184406,0.0,0.0010918156611774087
b' J105926.43+062227.4',5969,50,50,164.860125,6.3742777777777775,2.20637,true,718.7678881928117,62.96822471508668,-1.0,0.267,0.0248760339979742,46.91366015264041,46.99253763916147,0.03436973957715799
b' J235212.85-012029.6',5193,88,2,358.05354166666666,-1.3415555555555554,2.38104,true,1694.427432247496,22.74118483219311,-1.0,0.139,0.0266441487748337,46.70378677496726,46.53440619144485,0.12752839001395982
b' J102154.00+051646.3',4765,41,7,155.475,5.279527777777778,3.45427,false,1596.625289974152,21.936297839319426,-1.0,1.614,0.0141402082518922,46.6178853246778,0.0,0.11071680488301443
b' J094637.83-012411.5',3366,56,11,146.657625,-1.4031944444444444,2.219,true,717.1402468444684,22.779466403461647,-1.0,0.274,0.0392691222120521,46.50617601217541,46.38410669851549,0.09903400866610196
b' J105045.72+544719.2',4781,74,2,162.6905,54.788666666666664,2.17392,true,1293.1918843949925,29.90534483434486,-1.0,-0.089,0.0091413015039261,47.0738236697916,46.88197590495743,0.025829708934136428
b' J084729.52+441616.7',4066,58,2,131.873,44.27130555555556,2.349658,true,785.6077919108844,17.58831655069149,-1.0,0.591,0.0242234593155113,46.37715568967601,46.51621351319511,0.10394591121715807
b' J095330.36+353223.1',3778,90,2,148.3765,35.53975,2.38817,true,2930.9156660734675,15.979403504553426,-1.0,0.176,0.008370965252358,46.77156784211987,46.72979021730346,0.06479371271396034
b' J151123.30+495101.2',4688,41,2,227.84708333333333,49.85033333333333,2.403469,true,2705.843468891471,21.900183018113474,-1.0,0.46,0.0123820130323375,46.55875313205614,46.735606991089504,0.09921334216601199
b' J210831.56-063022.5',5066,42,2,317.1315,-6.50625,2.36502,true,5251.62901188767,18.176968565453052,-1.0,0.107,0.0533303288296239,47.07279633283397,46.85068111313782,0.11722617979827091
b' J001914.46+155555.9',4033,86,15,4.81025,15.932194444444443,2.26938,true,184.56404038553933,54.17869988324769,-1.0,0.143,0.041421527392371,46.70824181908767,46.599239851312866,0.0893758249189268
b' J140704.43+273556.6',6389,57,2,211.76845833333334,27.599055555555555,2.22594,true,1461.9509166568541,21.362727636707497,-1.0,0.073,0.016126967771765,46.99936498705581,46.716465141064255,0.05017975222883395
b' J104018.51+572448.1',3984,48,2,160.077125,57.41336111111111,3.42072,true,1916.2044220337116,14.151571867281376,2.92,0.073,0.0057514397124615,46.88295344015621,0.0,0.10796329484575276
b' J111313.29+102212.4',4752,81,2,168.305375,10.370111111111111,2.259802,true,2001.1019708638612,27.551771643201693,-1.0,0.226,0.0127530630834421,46.90428347213124,46.919411448022394,0.031644850347221753
b' J091941.26+253537.7',5720,56,6,139.92191666666668,25.593805555555555,2.26665,true,787.9995538907477,43.72250879393118,-1.0,0.046,0.0248302665387933,46.70047501998128,46.58112432662753,0.10386041674217657
b' J151733.09+435648.4',4101,45,35,229.387875,43.946777777777775,2.19633,true,3443.3618493565386,18.261876372750386,-1.0,0.183,0.0170104782930128,46.73105081179163,46.65939044428625,0.03659988811852395
b' J115747.99+272459.6',3985,70,37,179.44995833333334,27.416555555555554,2.206802,false,1065.1778863246084,43.53647770878543,-1.0,1.224,0.0189733265763956,46.11584101697306,46.554384762998104,0.08235725527340047
b' J094902.38+531241.5',4768,56,40,147.25991666666667,53.21152777777778,1.612306,true,1821.5527219258506,48.996151696397604,-1.0,0.019,0.0101228820848813,0.0,46.13567907796948,0.10248831409587145
b' J082603.32+342800.6',6786,56,2,126.51383333333334,34.466833333333334,2.31161,true,1495.891360856452,26.824569178377597,-1.0,0.063,0.0392406260458694,46.76326936648553,46.70798437543215,0.10864528508556621
b' J075837.62+135733.7',4318,71,2,119.65675,13.95936111111111,2.20694,true,820.9424968951566,57.55731531477062,63.759998,0.229,0.0272937341338434,46.661677320956215,46.64956795057021,0.1400020604178478
b' J214901.21-073141.6',3181,70,57,327.25504166666667,-7.528222222222222,2.21154,true,1765.9653871674375,21.978374382217062,-1.0,0.045,0.0359640017207502,46.80892694188383,46.57958626779352,0.11604694150513384
b' J161942.39+525613.4',5716,39,2,244.926625,52.93705555555555,2.35415,true,976.5756863776421,37.736852054706645,179.070007,0.164,0.0194896632743382,47.20542644533164,46.90251493804843,0.022118096750008597
b' J121314.03+080703.6',3716,41,29,183.30845833333333,8.117666666666667,2.37655,true,1795.21114460917,15.642027485909992,-1.0,0.139,0.0143804722149305,46.88452576707636,46.78577326394532,0.06393947161464518
b' J135908.35+305830.8',5425,56,2,209.78479166666668,30.97522222222222,2.28698,true,2777.929141972938,27.5638054640152,-1.0,0.108,0.0138602277500015,46.82725489234399,46.72076920745943,0.11485751628884457
b' J164807.55+254407.1',3035,48,5,252.03145833333335,25.735305555555556,2.19822,true,574.7033189298967,51.26768882954845,-1.0,0.221,0.0600549504806562,46.95357247555009,47.0626576228193,0.13097727234082304
b' J095823.07+371218.3',3498,36,2,149.596125,37.205083333333334,2.28139,true,2438.4615280646017,22.712111333756287,-1.0,0.189,0.0094816885306023,46.63891179245905,46.45949155320021,0.08221055937414297
b' J090247.57+304120.7',5510,63,2,135.69820833333333,30.689083333333333,1.5603,true,401.0753932898066,52.18516261840781,-1.0,0.168,0.0239234285651117,0.0,46.47900818601345,0.10281319585909095
b' J013012.36+153157.9',4734,64,18,22.5515,15.532749999999998,2.343581,false,12.61447494193384,19.702110136444535,-1.0,1.033,0.0463081775238995,46.50208844863878,46.69101801150775,0.12595167945418848
b' J101106.74+114759.4',2404,69,2,152.77808333333334,11.799833333333334,2.24892,true,1005.8783966993366,37.45272443722338,-1.0,0.215,0.0371712823302738,46.45969328286,46.470357618018404,0.07436080898421929
b' J154550.37+554346.2',3310,114,2,236.459875,55.7295,2.157395,true,1060.133492324097,44.15694813757977,-1.0,0.154,0.009512211893896,46.60689862741591,46.55690683841253,0.07779259701678994
b' J094646.94+392719.0',5597,63,53,146.69558333333333,39.45527777777778,2.22552,true,2778.8460532174972,24.374111093949878,-1.0,0.303,0.0144838132817513,46.66096787611447,46.6398736035875,0.01496436121728146
b' J094427.27+614424.6',4747,70,14,146.113625,61.74016666666667,2.336575,true,538.0857815348439,68.10170778867821,-1.0,1.016,0.0258604009369715,46.33978214850582,46.90317111516206,0.015780043837246484
b' J010447.39+101031.6',7484,78,2,16.197458333333334,10.175444444444445,2.36838,true,395.91007281971457,19.728598553806357,6.32,0.675,0.0303570315495576,46.486998064429336,46.60177722235402,0.07615336153877321
b' J001355.10-012304.0',10400,93,2,3.4795833333333333,-1.3844444444444444,3.38343,true,1289.0585440480793,31.7506095784456,-1.0,0.145,0.0272738429482885,46.768853719348186,0.0,0.07809781350989241
b' J225608.48+010557.8',3109,59,2,344.0353333333333,1.0993888888888887,2.268888,true,1697.498381520662,46.44235728156071,-1.0,0.355,0.0575727462719358,46.46872199088804,46.559457938666355,0.030884955633636066
b' J092216.04+160526.4',3181,58,11,140.56683333333334,16.090666666666664,2.37472,true,642.6865516544344,51.868353239864724,-1.0,0.075,0.023470792940536,46.71274989001008,46.77110850125688,0.10520337873760262
b' J114902.70+144328.0',4367,97,2,177.26125,14.724444444444444,2.18956,true,582.6867965183961,26.55315274445607,-1.0,0.139,0.0352824597014267,46.90305789722367,46.74817340790361,0.08497250523139663
b' J102907.09+651024.6',4408,65,2,157.27954166666666,65.1735,2.17751,true,2657.7699362198205,23.520632041026136,-1.0,0.085,0.0086982858413589,47.25024338096033,47.08071328452424,0.028493768154158904
b' J100653.26+011938.7',4718,54,25,151.72191666666666,1.3274166666666667,2.30291,true,2106.4082231231723,34.9622860036641,-1.0,0.366,0.0283004692517246,46.49655562341668,46.58632587813353,0.0715702603803596
b' J121736.65+515510.3',5115,61,2,184.40270833333332,51.91952777777777,2.22733,true,1161.9108641193752,52.574952938497674,78.510002,-0.061,0.0170063753738098,47.00302068543538,46.86373045906392,0.07248558813330575
b' J142435.97+421030.4',5515,40,2,216.149875,42.17511111111111,2.22608,true,1687.1942276793145,27.93570426618996,-1.0,-0.006,0.00798829349282,46.82278230547602,46.79953481425926,0.07327396278690386
b' J094214.40+034100.3',5862,58,2,145.56,3.683416666666667,1.58357,true,574.4349087060655,50.01142187389995,-1.0,0.251,0.0370736028912695,0.0,46.3329128972653,0.04813701333808091
b' J083417.12+354833.1',4047,46,53,128.57133333333334,35.809194444444444,2.16894,true,2179.312617819045,25.713331385756785,-1.0,0.12,0.0299362190912567,46.89475694215344,46.77498922884864,0.06843878011087134
b' J013647.96-062753.6',6617,40,2,24.199833333333334,-6.464888888888889,3.31147,true,4716.286443038053,18.423891029399382,-1.0,0.587,0.0248827054073155,46.89994378697653,0.0,0.09839139681377265
b' J025042.45+003536.7',7246,76,2,42.676875,0.5935277777777778,2.396423,false,971.3078147224231,50.33024880883157,-1.0,0.775,0.0508217271764802,46.41884228310725,46.48490295610621,0.08682036358343852
b' J141951.84+470901.3',3558,37,21,214.966,47.15036111111111,2.29568,true,1866.2730955404518,24.767156725066286,-1.0,0.492,0.011987898132685,46.783991798344175,46.885246933690325,0.09448549610959056
