Final_Name,Name_sul07,z,z_src,r_z_sul07,CIV_blue_tvm,CIV_EW_tvm,CIVgood_tvm,CIV_blue_sul07,CIV_EW_sul07,F1450_spec (erg/s/cm2/A),S2N_1450A,Inst_final,log M_BH,+err(log M_BH),-err(log M_BH),MBH_source,logEddRatio,EddRatio_Source,SDSS_NAME,PLATE,MJD,FIBERID,IAU_sul07,Hbeta_FWHM_sul07,RFeII_sul07,_RA,_DE
PG1415+451,PG 1415+451,0.1151,Sul,M03,955.869065751115,32.3341564916107,1,771.0,68.59504132231405,9.944005896917421E-15,6.02744289740983,FOS,,,,,,,141700.82+445606.3,1287.0,52728.0,296.0,J14170+4456,2691,1.03,214.253441944444,44.935095
SBS1704+608,SBS 1704+608,0.372,Sul,M03,-424.458528022291,39.8676818396469,1,200.0,78.49999999999999,7.023348606154541E-15,7.25949271563712,STIS,,,,,,,170441.38+604430.5,353.0,51703.0,377.0,J17046+6044,9224,0.11,256.172371666667,60.7418138888889
J11391-1350,[HB89] 1136-135,0.5562,Sul,SPM,-147.881870046715,94.0485962781964,1,-674.0,96.58119658119658,2.9381474661023604E-15,13.6101282898757,FOS,,,,,,,,,,,J11391-1350,4584,0.1,174.7946125,-13.8454405555556
PG1001+054,PG 1001+054,0.1611,Sul,M03,1162.37705552831,45.157798911833,1,930.0,66.66666666666667,3.5347601280778803E-15,10.5266392851443,FOS,,,,,,,100420.13+051300.4,995.0,52731.0,4.0,J10043+0513,1879,0.49,151.0839225,5.21680388888889
NGC4395,NGC 4395,8.0E-4,Sul,M03,-355.280481193698,132.258558245333,0,-176.0,75.0,7.563545096480069E-16,5.34543119690675,STIS,5.449,0.13,0.145,Bentz & Katz 2015,-4.31503961056733,Spectra 1450A,,,,,J12258+3332,1695,0.47,186.453841666667,33.54675
PG1121+422,PG 1121+422,0.2253,Sul,M03,473.481426026803,34.4512084190806,1,166.0,58.55263157894736,8.10917795927497E-15,13.844980833217,FOS,,,,,,,112439.18+420145.0,1443.0,53055.0,358.0,J11246+4201,2834,0.23,171.163228055556,42.0291780555556
PG1100+772,PG 1100+772,0.3116,Sul,M03,197.485608074964,93.1679726903987,1,-3.0,128.78787878787878,6.4414848776130605E-15,9.55555311244533,FOS,,,,,,,,,,,J11042+7658,8242,0.01,166.057823888889,76.982825
LBQS0003+0146,LBQS 0003+0146,0.234,Sul,C91,611.392208999139,33.24366724046,0,455.0,72.72727272727272,2.9124967966125304E-15,13.7286010369081,FOS,,,,,,,000547.54+020302.2,7852.0,56987.0,932.0,J00057+0203,3315,0.26,1.44808416666667,2.05065861111111
J00449+1026,[HB89] 0042+101,0.5857,Sul,SPM,-493.636574850928,259.268755758927,1,37.0,191.66666666666663,1.68316962483025E-16,3.68383222101625,FOS,,,,,,,,,,,J00449+1026,8978,0.4,11.2446869444444,10.4480772222222
J23466+0930,[HB89] 2344+092,0.6719,Sul,M03,266.508764230596,46.7516061662248,1,111.0,40.9090909090909,2.60072230708931E-15,13.1845636943378,FOS,,,,,,,,,,,J23466+0930,3159,0.2,356.653493888889,9.51264305555555
